stationName,stationID,sLongitude,sLatitude,clusterID
Central Park West & W 72 St,7141.07,-73.976206,40.775794,15
Fulton St & Broadway,5175.08,-74.009447,40.711066,64
West Drive & Prospect Park West,3651.04,-73.979453,40.661063,4
Lorimer St & Broadway,4965.01,-73.948186,40.704118,88
William St & Pine St,5065.12,-74.008873,40.707179,90
Carroll St & Bond St,4184.07,-73.990373,40.678612,72
Fulton St & Clermont Ave,4386.05,-73.969223,40.684157,12
Dock St & Front St,4903.09,-73.99253,40.702709,151
Willow Ave & E 133 St,7626.02,-73.913863,40.800933,197
W 116 St & Broadway,7713.11,-73.9641,40.8082,27
Washington Ave & Greene Ave,4419.03,-73.965633,40.686501,12
Grand Ave & Bergen St,4190.06,-73.962408,40.678045,98
31 St & 21 Ave,7202.07,-73.90842,40.77813,86
2 Ave & E 125 St,7648.16,-73.933509,40.802554,36
Central Park W & W 97 St,7538.18,-73.964171,40.792495,175
8 Ave & W 38 St,6526.05,-73.99177,40.75461,113
Center Blvd & 48 Ave,6254.06,-73.957539,40.745038,22
W 163 St & Edgecombe Ave,8153.10,-73.937496,40.835798,18
2 Ave & E 31 St,6197.02,-73.977061,40.742909,104
Scholes St & Manhattan Ave,5108.01,-73.944862,40.708704,3
Tinton Ave & E 165 St,7991.01,-73.90242,40.824796,51
Rivington St & Ridge St,5406.02,-73.983299,40.718502,69
Plaza Dr & W 170 St,8213.01,-73.917946,40.840484,122
Fort Washington Ave & W 183 St,8399.06,-73.937854,40.852252,38
Hart St & Wyckoff Ave,4971.01,-73.919911,40.704876,117
Dyckman St & Staff St,8655.02,-73.931537,40.868846,138
Flushing Ave & Vanderbilt Ave,4762.05,-73.970776,40.69795,46
Concourse Village West & E 156 St,7962.01,-73.923267,40.823162,124
Grand Concourse & E Mosholu Pkwy S,8795.03,-73.884755,40.877964,126
Perry St & Bleecker St,5922.07,-74.004831,40.735354,162
Broadway & W 153 St,8089.05,-73.946665,40.831327,107
Commerce St & Van Brunt St,4243.01,-74.008609,40.681212,48
South St & Gouverneur Ln,4953.04,-74.006702,40.703554,90
W 90 St & Amsterdam Ave,7432.04,-73.972889,40.790179,58
Bond St & Bergen St,4404.10,-73.986208,40.684967,185
Howard St & Lafayette St,5422.04,-73.999733,40.719105,20
Stephen St & Seneca Ave,4798.10,-73.9007,40.6988,157
6 Ave & W 34 St,6364.10,-73.98805,40.74964,60
W 26 St & 10 Ave,6382.05,-74.00295,40.749718,177
Central Ave & Flushing Ave,4947.04,-73.9333,40.702831,103
Smith St & 3 St,4151.01,-73.995991,40.678724,112
E 30 St & Park Ave S,6206.08,-73.983035,40.744449,5
Perry St & Greenwich Ave,5955.12,-74.000939,40.735918,194
Mercer St & Spring St,5532.01,-73.999496,40.723627,20
3 Ave & E 62 St,6762.04,-73.965269,40.763126,101
West Thames St,5114.06,-74.017134,40.708347,192
Central Park North & Adam Clayton Powell Blvd,7617.07,-73.955613,40.799484,148
Broadway & Whipple St,4883.03,-73.94373,40.701666,88
Windsor Pl & Howard Pl,3579.04,-73.980139,40.659491,4
Howard St & Centre St,5422.04,-73.999733,40.719105,20
Kingston Ave & Herkimer St,4205.06,-73.941428,40.678907,110
Court St & Nelson St,4077.07,-73.998699,40.676395,112
Murray St & West St,5329.06,-74.013012,40.714979,64
Henry St & Grand St,5294.04,-73.981095,40.714211,69
Mott St & Prince St,5561.04,-73.9948,40.72318,71
Bialystoker Pl & Delancey St,5335.03,-73.982612,40.716226,69
Valentine Ave & E 183 St,8472.06,-73.898237,40.856987,32
Fulton Ave & St. Paul's Pl,8152.03,-73.90153,40.83545,106
Vernon Blvd & 50 Ave,6170.02,-73.954117,40.742327,22
Wythe Ave & Metropolitan Ave,5348.02,-73.963198,40.716887,128
Myrtle Ave & Linden St,4816.02,-73.91337,40.69943,117
Lenox Ave & W 133 St,7790.04,-73.941878,40.81296,159
1 Ave & E 44 St,6379.03,-73.969053,40.75002,164
Southern Blvd & E 175 St,8196.02,-73.886445,40.839335,158
31 St & Ditmars Blvd,7144.02,-73.910485,40.776168,6
47 Ave & 31 St,6151.03,-73.93561,40.743,127
Columbus Ave & W 103 St,7595.17,-73.964341,40.796935,175
E 2 St & Avenue B,5515.02,-73.983688,40.722174,23
Franklin St & Dupont St,5944.01,-73.95866,40.73564,44
21 St & Queens Plaza North,6471.02,-73.943358,40.75326,73
E 109 St & 3 Ave,7504.12,-73.943208,40.793297,190
1 Ave & E 78 St,7020.09,-73.953517,40.771404,178
12 St & 4 Ave,3882.01,-73.990439,40.668603,21
Gerard Ave & E 146 St,7868.05,-73.92965,40.817755,57
34th Ave & Vernon Blvd,6873.01,-73.939863,40.765354,56
E 141 St & Jackson Ave,7703.14,-73.911837,40.806896,10
Flatbush Ave & Eastern Pkwy,3856.03,-73.966438,40.668757,163
E 16 St & Irving Pl,5938.11,-73.987974,40.735367,78
Prospect Pl & Vanderbilt Ave,4157.15,-73.969021,40.677675,163
Engert Ave & McGuinness Blvd,5473.03,-73.94546,40.72158,52
Myrtle Ave & Fleet Pl,4628.07,-73.981909,40.693534,17
Dean St & Hoyt St,4446.05,-73.987591,40.686444,185
Market St & Cherry St,5198.04,-73.994004,40.710762,166
Hoyt St & Warren St,4330.09,-73.989016,40.684355,185
Brooklyn Bridge Park - Pier 2,4756.04,-73.997178,40.698458,151
Bayard St & Baxter St,5351.03,-73.999744,40.716021,166
W Fordham Rd & Loring Pl N,8590.01,-73.90741,40.86295,174
W 186 St & St. Nicholas Ave,8416.10,-73.931308,40.852253,152
Park Ave & Marcus Garvey Blvd,4768.02,-73.941342,40.698617,88
Bergen St & Vanderbilt Ave,4157.10,-73.968044,40.679439,12
E 25 St & 1 Ave,6004.07,-73.977387,40.738177,104
Amsterdam Ave & W 131 St,7842.16,-73.954295,40.816355,93
W 18 St & 9 Ave,6190.03,-74.003676,40.743534,25
Morris Ave & E 171 St,8209.01,-73.9109,40.83899,167
Tompkins Ave & Hopkins St,4850.04,-73.947084,40.699576,88
Columbia St & Rivington St,5365.02,-73.980166,40.7174,69
W 49 St & 8 Ave,6747.06,-73.987882,40.762272,168
E 118 St & Park Ave,7625.18,-73.941995,40.800539,118
St. Nicholas Terrace & Convent Ave,7937.15,-73.947868,40.821294,8
Madison St & Forest Ave,5025.02,-73.90245,40.70555,37
19 St & 24 Ave,7186.15,-73.92254,40.777455,39
Knickerbocker Ave & Thames St,5018.06,-73.92976,40.70539,198
E 81 St & 3 Ave,7154.07,-73.956753,40.77573,178
St Marks Pl & 1 Ave,5626.13,-73.985649,40.727791,78
Icahn Stadium,7514.01,-73.92389,40.79346,146
Verona Pl & Fulton St,4124.04,-73.947679,40.680356,31
3 St & Hoyt St,4110.10,-73.993641,40.677729,112
Crotona Park North & Prospect Ave,8236.01,-73.892317,40.841092,158
Van Brunt St & Wolcott St,4095.03,-74.012751,40.677343,48
E 81 St & York Ave,7084.12,-73.949892,40.772838,123
23 St & 3 Ave,3707.01,-73.998623,40.662611,79
Avenue C & E 18 St,5769.04,-73.973984,40.730563,169
Richards St & Delavan St,4202.04,-74.00785,40.679433,48
3 Ave & E 163 St,7974.01,-73.908699,40.823872,49
W 218 St & Indian Rd,8732.04,-73.918372,40.873055,108
Cambridge Pl & Gates Ave,4377.04,-73.96304,40.68488,12
Lexington Ave & E 128 St,7716.19,-73.936085,40.806414,134
Central Ave & Weirfield St,4591.04,-73.91181,40.69055,154
Mercer St & Bleecker St,5679.05,-73.996621,40.727064,71
Sullivan St & Washington Sq,5721.01,-73.999061,40.730477,194
Carmine St & 6 Ave,5763.03,-74.00215,40.730386,171
21 St & 21 Ave,7314.03,-73.914527,40.782465,116
3 St & Prospect Park West,3865.05,-73.973638,40.668132,63
E 106 St & 1 Ave,7456.03,-73.939562,40.789253,102
W 26 St & 8 Ave,6297.02,-73.997236,40.747348,177
W 22 St & 8 Ave,6224.03,-73.999154,40.744751,62
Wadsworth Ave & W 175 St,8299.03,-73.937648,40.846052,96
17 St & 5 Ave,3699.07,-73.991007,40.663493,21
W 44 St & 11 Ave,6756.05,-73.996975,40.762009,97
Brook Ave & E 141 St,7740.08,-73.917875,40.809619,87
E 188 St & Creston Ave,8566.05,-73.898589,40.861669,32
Greenwich St & Perry St,5922.04,-74.00697,40.73498,162
Lorimer St & Calyer St,5709.04,-73.95414,40.72795,44
Throop Ave & Myrtle Ave,4697.01,-73.943711,40.696229,88
Atlantic Ave & Furman St,4614.04,-73.999979,40.691652,80
N 15 St & Wythe Ave,5520.09,-73.955736,40.724055,191
Riverside Dr & W 138 St,7942.21,-73.955857,40.823168,150
Spring St & Hudson St,5653.12,-74.007653,40.72584,74
Lexington Ave & Classon Ave,4452.03,-73.959282,40.686768,184
43 St & 37 Ave,6401.01,-73.919998,40.750181,81
12 Ave & W 40 St,6765.01,-74.002777,40.760875,42
11 Ave & W 41 St,6726.01,-73.998842,40.760301,97
Bank St & Washington St,5964.01,-74.008592,40.736197,162
Riverside Blvd & W 67 St,7183.03,-73.988886,40.777507,125
Washington Ave & E 174 St,8277.03,-73.900216,40.843079,106
Broadway & W 56 St,6847.02,-73.981923,40.765265,165
Broadway & W 41 St,6560.01,-73.98658,40.755136,113
Southern Blvd & E 172 St,8129.02,-73.88955,40.834124,158
Academy St & Nagle Ave,8579.05,-73.922661,40.862562,196
Cathedral Pkwy & Broadway,7680.03,-73.966991,40.804213,181
1 Ave & E 16 St,5779.08,-73.981656,40.732219,169
Duane St & Greenwich St,5400.08,-74.010455,40.717488,64
W 43 St & 10 Ave,6756.01,-73.994618,40.760094,97
Grand Army Plaza & Plaza St West,4010.15,-73.97088,40.672968,163
FDR Drive & E 35 St,6230.04,-73.971212,40.744219,164
Adams St & Prospect St,4821.10,-73.988698,40.700763,50
W 70 St & Amsterdam Ave,7207.08,-73.982886,40.77748,125
14 St & 7 Ave,3731.11,-73.983968,40.663779,99
Little West St & 1 Pl,5001.08,-74.016777,40.705693,192
Willis Ave & E 141 St,7759.08,-73.921606,40.81093,182
W 190 St & Broadway,8474.02,-73.93297,40.856487,59
W 225 St & Exterior St,8711.02,-73.906646,40.873265,174
Prospect Park SW & Greenwood Ave,3385.06,-73.972573,40.652563,149
Loring Pl North & W 183 St,8555.05,-73.909336,40.860424,160
E 106 St & Lexington Ave,7504.18,-73.945993,40.791976,190
Wards Meadow Comfort Station,7327.01,-73.93077,40.78294,102
18 St & 27 Ave,7062.07,-73.927436,40.772768,39
E 89 St & 3 Ave,7265.10,-73.952167,40.780628,0
Pierrepont St & Monroe Pl,4718.08,-73.99344,40.695357,80
Central Park S & 6 Ave,6876.04,-73.976342,40.765909,66
E 32 St & Park Ave,6280.12,-73.981948,40.745712,5
21 St & 23 Ave,7210.07,-73.919046,40.778557,116
2 Ave & E 29 St,6122.09,-73.978093,40.741724,104
W 36 St & 7 Ave,6483.06,-73.989539,40.752149,60
Clay Ave & Claremont Pkwy,8225.05,-73.90549,40.83999,106
W 64 St & Thelonious Monk Circle,7123.04,-73.989187,40.77516,125
W 76 St & Columbus Ave,7281.09,-73.977285,40.780184,15
E 13 St & 2 Ave,5820.08,-73.985302,40.731539,78
Beaver St & Fayette St,4840.06,-73.93921,40.70099,103
E 39 St & 2 Ave,6345.08,-73.973828,40.748033,164
E 23 St & 1 Ave,5929.01,-73.978095,40.736502,104
Driggs Ave & N 9 St,5411.08,-73.955201,40.71817,191
Harman St & Seneca Ave,5002.09,-73.91292,40.70577,37
E 6 St & Avenue D,5506.14,-73.976687,40.722281,23
30 St & 4 Ave,3564.04,-74.001141,40.657743,120
10 St & 2 Ave,3922.02,-73.993612,40.671907,21
Manhattan Av & Leonard St,5442.09,-73.94844,40.72084,52
W Broadway & Spring St,5569.06,-74.001659,40.724947,20
Willoughby Ave & Walworth St,4634.02,-73.95382,40.693317,140
E 106 St & Madison Ave,7528.31,-73.94945,40.793434,172
Cliff St & Fulton St,5065.14,-74.00495,40.70838,1
River Ave & E 153 St,8005.08,-73.92818,40.82441,124
2 Av & 37 St,3460.04,-74.009627,40.656326,183
E 174 St & Longfellow Ave,8144.09,-73.884308,40.836274,158
Evergreen Ave & Noll St,4873.08,-73.93318,40.70106,103
Broadway & E 21 St,6098.10,-73.989586,40.739888,119
E 97 St & 3 Ave,7365.08,-73.948603,40.78592,0
Columbus Ave & W 72 St,7175.05,-73.978985,40.777057,15
Underhill Ave & Pacific St,4231.04,-73.96468,40.680484,12
DeKalb Ave & S Portland Ave,4546.04,-73.974931,40.68981,130
3 Ave & E 71 St,6960.10,-73.961199,40.768737,101
Madison Ave & E 26 St,6131.12,-73.986713,40.742685,5
Fulton St & Irving Pl,4263.12,-73.959432,40.68186,184
Railroad Ave & Kay Ave,4990.01,-73.971001,40.705312,46
E 138 St & Cypress Ave,7669.10,-73.914718,40.805559,87
Concourse Village East & E 158 St,8000.02,-73.919379,40.823732,124
W 165 St & Fort Washington Ave,8226.05,-73.942939,40.84004,18
Caton Ave & E 7 St,3199.01,-73.973663,40.647718,149
6 Ave & 60 St,2912.08,-74.013821,40.638196,53
5 Ave & W 131 St,7735.05,-73.93973,40.81014,134
Riverside Dr & W 104 St,7623.13,-73.971146,40.801343,181
Onderdonk Ave & Gates Ave,4994.10,-73.90737,40.70413,37
Adam Clayton Powell Blvd & W 151 St,8009.05,-73.936232,40.825289,170
Courtlandt Ave & E 157 St,7979.01,-73.916792,40.822267,49
1 Pl & Clinton St,4193.14,-73.999057,40.680959,112
Bergen St & Flatbush Ave,4281.08,-73.975673,40.680945,100
Broadway & W 155 St,8123.02,-73.94592,40.83299,107
W 133 St & 12 Ave,7925.04,-73.959089,40.820003,150
Broadway & W 192 St,8511.08,-73.932173,40.857994,59
9 Ave & W 18 St,6190.08,-74.003664,40.743174,25
W 204 St & Vermilyea Ave,8632.07,-73.922648,40.866141,19
Riverside Dr & W 82 St,7388.10,-73.981281,40.787209,131
Dyckman St & 10 Ave,8507.02,-73.923094,40.858904,196
Clinton St & Centre St,4045.01,-74.001947,40.67434,135
W 42 St & 6 Ave,6517.08,-73.98455,40.75492,68
4 Ave & E 12 St,5788.15,-73.99011,40.732647,78
Walnut Ave & E 136 St,7639.06,-73.909513,40.801657,197
W 15 St & 7 Ave,6030.06,-73.999318,40.739355,62
Macombs Rd & W 175 St,8344.04,-73.916082,40.848177,61
E 58 St & 1 Ave (NW Corner),6723.10,-73.962658,40.759125,40
28 St & 41 Ave,6462.19,-73.93797,40.751047,14
48 St & 37 Ave,6435.02,-73.915026,40.751555,35
E 110 St & Madison Ave,7587.14,-73.947821,40.796154,190
Clinton Ave & Flushing Ave,4762.04,-73.969868,40.69794,46
Morgan Ave & Maspeth Ave,5354.01,-73.93637,40.716657,82
Wyckoff Av & Jefferson St,5051.01,-73.923711,40.707165,16
Clinton St & Tillary St,4748.07,-73.991421,40.696233,155
E 47 St & 1 Ave,6498.09,-73.967844,40.752069,164
Forsyth St & Canal St,5270.07,-73.994224,40.715815,94
34 St & 4 Ave,3492.04,-74.003101,40.655278,120
E 25 St & 2 Ave,6046.02,-73.979738,40.739126,104
Plaza St East & Flatbush Ave,4010.01,-73.969106,40.673134,163
Brook Ave & E 148 St,7816.14,-73.915368,40.814383,141
S 4 St & Wythe Ave,5204.05,-73.965903,40.712859,147
Sands St Gate,4812.04,-73.979827,40.699569,186
Union St & 4 Ave,4175.15,-73.98282,40.677274,100
Wilson Ave & Troutman St,4864.09,-73.92754,40.70166,198
Clermont Ave & Park Ave,4692.01,-73.971297,40.695734,46
W 54 St & 11 Ave,6955.05,-73.992573,40.768333,28
Prospect Park SW & 10 Ave,3611.02,-73.977504,40.659945,4
Queens Plaza North & Crescent St,6429.01,-73.940737,40.751102,73
Humboldt St & Varet St,4956.02,-73.940636,40.703172,103
Grand Concourse & East Mount Eden Ave,8265.09,-73.91172,40.84301,2
W 27 St & 7 Ave,6247.06,-73.993915,40.746647,60
E 56 St & Madison Ave,6732.01,-73.972628,40.761573,66
Yankee Ferry Terminal,4440.02,-74.016756,40.687066,136
14 St & 5 Ave,3771.06,-73.988951,40.666287,21
W 190 St & St. Nicholas Ave,8453.14,-73.929513,40.854788,152
Paul Ave & Mosholu Pkwy,8811.01,-73.886065,40.880294,126
Jerome Ave & W 193 St,8619.02,-73.89794,40.86659,161
Knickerbocker Ave & Hancock St,4663.02,-73.90974,40.69385,132
Morris Ave & E 142 St,7821.01,-73.924963,40.814469,57
Douglass St & 3 Ave,4217.02,-73.984327,40.680213,185
44 St & 3 Ave,3315.05,-74.011405,40.651173,9
Steinway St & 21 Ave,7137.04,-73.903787,40.774798,86
41 St & 3 Ave,3388.02,-74.008906,40.652512,183
Amsterdam Ave & W 189 St,8432.04,-73.927094,40.853142,152
Amsterdam Ave & W 183 St,8353.09,-73.93022,40.84925,152
3 Ave & 17 St,3779.02,-73.995549,40.666168,21
E 59 St & Madison Ave,6801.01,-73.971092,40.763505,66
Norfolk St & Broome St,5374.01,-73.988021,40.717227,69
Central Park W & W 91 St,7453.01,-73.966801,40.788665,89
Marion Ave & Mosholu Pkwy,8699.01,-73.881876,40.870496,11
Cedar St & Evergreen Ave,4721.01,-73.92807,40.69671,198
8 Ave & W 16 St,6072.11,-74.001702,40.740983,62
Columbia Heights & Cranberry St,4829.01,-73.995481,40.700379,151
E 133 St & Cypress Pl,7642.04,-73.9174,40.80262,87
Nagle Ave & Thayer St,8563.06,-73.925591,40.861382,196
3 Ave & E 169 St,8103.05,-73.905158,40.832678,51
Paul Ave & W 205 St,8782.01,-73.88943,40.87704,75
Boston Rd & E 167 St,8048.04,-73.903719,40.828199,51
Riverside Dr & W 153 St,8108.02,-73.949702,40.832164,107
34 St & 35 Ave,6605.08,-73.926223,40.756933,81
E 170 St & Sheridan Ave,8194.07,-73.912604,40.838315,167
Grand Concourse & E 197 St,8667.01,-73.89148,40.86945,75
E 155 St & Courtlandt Ave,7940.02,-73.917579,40.82057,141
Broadway & W 165 St,8191.01,-73.941409,40.839137,18
Pitt St & Stanton St,5406.04,-73.98178,40.719261,23
St James Pl & Oliver St,5238.05,-73.998512,40.713079,166
3 Ave & E 112 St,7543.15,-73.941606,40.795508,190
48 St & 5 Ave,3202.06,-74.009271,40.646351,188
Frost St & Meeker Ave,5371.07,-73.9488,40.717662,52
Fulton St & Utica Ave,4228.02,-73.929891,40.679427,110
Prospect Ave & Jennings St,8099.04,-73.896853,40.831762,139
Ogden Ave & Merriam Ave,8218.04,-73.925961,40.839142,122
E 169 St & Webster Ave,8122.04,-73.908863,40.834015,167
Franklin St & W Broadway,5430.08,-74.006667,40.719116,176
24 St & 41 Ave,6505.09,-73.939991,40.752474,133
3 Ave & Schermerhorn St,4437.01,-73.979677,40.686832,129
Washington St & Barrow St,5847.08,-74.008769,40.731911,162
DeKalb Ave & Hudson Ave,4513.06,-73.981013,40.689888,17
37 Ave & 35 St,6529.02,-73.927992,40.753111,14
Leonard St & Boerum St,5036.06,-73.946446,40.705833,3
E 82 St & East End Ave,7049.04,-73.946821,40.772461,123
Dyckman St & Henshaw St,8636.04,-73.92936,40.867357,138
W 171 St & St. Nicholas Ave,8262.07,-73.938631,40.842941,96
Menahan St & Onderdonk Ave,5034.03,-73.9096,40.70553,37
6 St & 7 Ave,3834.10,-73.979881,40.668663,63
Bus Slip & State St,4889.06,-74.013942,40.701907,90
Pulaski St & Marcus Garvey Blvd,4656.03,-73.939877,40.693398,43
E 47 St & Park Ave,6584.12,-73.974987,40.755103,143
Southern Blvd & E 142 St,7719.13,-73.908098,40.807347,10
Irving Ave & DeKalb Ave,4898.02,-73.92095,40.7027,117
E 51 St & Lexington Ave,6659.01,-73.972078,40.757148,143
Nostrand Ave & Myrtle Ave,4707.04,-73.952381,40.69527,140
E 50 St & Park Ave,6659.10,-73.974235,40.757334,143
Broadway & Battery Pl,4962.01,-74.013617,40.704633,90
E 76 St & Park Ave,7128.08,-73.962221,40.773763,105
Broadway & W 133 St,7903.02,-73.956156,40.819034,150
20 Ave & 42 St,7163.07,-73.900063,40.775415,86
5 Ave & 37 St,3379.03,-74.002356,40.652657,120
30 Ave & 47 St,6774.13,-73.909562,40.761294,67
Milton St & Franklin St,5752.07,-73.95779,40.72906,44
E 11 St & 1 Ave,5746.14,-73.984267,40.729538,78
LaGuardia Pl & W 3 St,5721.14,-73.998102,40.72917,171
Frederick Douglass Blvd & W 129 St,7795.09,-73.949229,40.812551,159
Amsterdam Ave & W 82 St,7360.10,-73.976673,40.785247,58
E 31 St & 3 Ave,6239.08,-73.979661,40.743943,5
E 67 St & Park Ave,6932.14,-73.965921,40.767801,101
N 6 St & Bedford Ave,5379.10,-73.958509,40.717452,128
5 Ave & E 103 St,7511.19,-73.952499,40.792255,172
Underhill Ave & Lincoln Pl,4042.08,-73.967146,40.674012,163
W 87 St & West End Ave,7484.05,-73.97757,40.789622,58
Crescent St & Broadway,6827.11,-73.928647,40.763359,179
Madison Ave & E 120 St,7667.04,-73.942954,40.80295,118
Carlton Ave & Dean St,4199.12,-73.97101,40.680974,12
Monroe St & Classon Ave,4336.01,-73.958811,40.684568,184
E 66 St & Madison Ave,6969.08,-73.968453,40.768009,101
44 Dr & 21 St,6278.04,-73.946093,40.748,73
Edgecombe Ave & W 141 St,7915.11,-73.945144,40.820681,8
Bailey Ave & W 193 St,8676.01,-73.90678,40.87069,174
4 Ave & 9 St,3955.05,-73.988766,40.670513,21
St. Nicholas Ave & W 155 St,8085.05,-73.941323,40.830663,170
Pinehurst Ave & W 187 St,8458.03,-73.937878,40.855331,59
63 St & 5 Ave,2872.02,-74.01782,40.63766,53
Grand Ave & W Fordham Rd,8571.02,-73.90316,40.86288,92
W 155 St & Frederick Douglass Blvd,8065.13,-73.936996,40.82923,170
Columbia St & Degraw St,4422.04,-74.002424,40.68593,33
E 53 St & Madison Ave,6659.03,-73.974023,40.759711,143
Lenox Ave & W 130 St,7753.13,-73.943068,40.810792,159
Lincoln Ave & E 138 St,7744.06,-73.927311,40.810893,182
Pier 40 - Hudson River Park,5696.03,-74.011296,40.727714,74
Van Brunt St & Van Dyke St,4095.10,-74.014726,40.675833,48
8 Ave & W 52 St,6816.07,-73.985162,40.763707,168
Amsterdam Ave & W 125 St,7800.03,-73.956461,40.813358,93
Walton Ave & E 183 St,8514.05,-73.90266,40.858472,92
Central Park W & W 103 St,7577.27,-73.961884,40.79559,175
W 106 St & Central Park West,7606.01,-73.960591,40.798186,175
University Pl & E 14 St,5905.14,-73.992085,40.734814,119
Broadway & W 131 St,7865.09,-73.957163,40.817555,150
Lafayette St & E 8 St,5788.13,-73.991026,40.730207,71
Broadway & Roebling St,5125.07,-73.960631,40.709248,147
E 118 St & 1 Ave,7596.10,-73.93504,40.79747,36
46 St & 6 Ave,3161.02,-74.005708,40.645921,77
E 14 St & Avenue B,5736.09,-73.977724,40.729387,169
Berkeley Pl & 6 Ave,4134.06,-73.978469,40.67653,100
Union St & Bedford Ave,3879.04,-73.955416,40.669178,41
Tiebout Ave & E Fordham Road,8546.06,-73.894831,40.861915,32
Morningside Dr & Amsterdam Ave,7741.04,-73.957365,40.810285,93
Metropolitan Ave & Stewart Ave,5273.01,-73.92793,40.71401,16
E 9 St & Avenue C,5616.01,-73.977688,40.725213,23
St. Nicholas Ave & W 126 St,7756.10,-73.951878,40.811432,93
W 20 St & 8 Ave,6224.05,-74.00004,40.743453,62
Broadway & W 160 St,8157.06,-73.9434,40.835775,18
8 Ave & W 33 St,6450.12,-73.993934,40.751551,60
Steinway St & 28 Ave,6915.02,-73.913669,40.765625,145
Metropolitan Ave & Meeker Ave,5300.05,-73.952344,40.714133,65
S 5 Pl & S 5 St,5125.03,-73.960876,40.710451,147
University Ave & Macombs Rd,8344.09,-73.916121,40.84964,61
